 velocity avg_density
0 63.516608418314554 1.005529258105087e-11
1 71.40630766052993 2.928088214842606e-11
2 75.87973203172503 4.619658874727153e-11
3 79.14083434667408 5.896887289487248e-11
4 81.76028221981183 6.91271662410345e-11
5 83.97912322677834 7.774308348390722e-11
6 85.92047253271521 8.524104279923777e-11
7 87.65879026442757 9.155071951057609e-11
8 89.24465751946691 9.71989921627252e-11
9 90.71256791374452 1.0177983953536521e-10
10 92.08168940080346 1.056026457897539e-10
11 93.36410665290006 1.095624567086472e-10
12 94.57462890169612 1.1289502374035841e-10
13 95.72617214609409 1.1605792438246359e-10
14 96.82094285705644 1.190314603547098e-10
15 97.85880352932756 1.215239176795085e-10
16 98.85190516679111 1.237832159909449e-10
17 99.8118989298945 1.257945314501287e-10
18 100.74062077684515 1.2754833660874551e-10
19 101.64013718063114 1.2932271071938169e-10
20 102.51299743883192 1.311178326528333e-10
21 103.36077276013415 1.323350236218943e-10
22 104.18640242961457 1.338633723734536e-10
23 104.99177608083154 1.351019949078659e-10
24 105.7779940784349 1.360384771977854e-10
25 106.5493737471259 1.369814508728242e-10
26 107.30587619984237 1.369814508728242e-10
27 108.04570606135267 1.379268297413249e-10
28 108.77169881076001 1.385676213176606e-10
29 109.48472434330598 1.392072203970389e-10
30 110.18507638250394 1.3984977173163008e-10
31 110.87352253779362 1.404910809561199e-10
32 111.55019494171646 1.4081916403827408e-10
33 112.2150322138768 1.414691557666537e-10
34 112.8682037068553 1.421178910019751e-10
35 113.51143635510336 1.424455065758637e-10
36 114.14615502473278 1.42773877381648e-10
37 114.77078490077703 1.431072913850401e-10
38 115.38461031233112 1.4343718776236608e-10
39 115.99004020566682 1.437635386203457e-10
40 116.58808386793098 1.4409494780378692e-10
41 117.17823168799227 1.444271209642971e-10
42 117.76120197975783 1.4443144684896869e-10
43 118.3389431403729 1.447600598630256e-10
44 118.9172164157453 1.437635386203457e-10
45 119.54989508068552 1.4409494780378692e-10
46 120.27022574970917 1.4409494780378692e-10
47 121.01854382074941 1.4409494780378692e-10
48 121.75358469675513 1.444271209642971e-10
49 122.47724201111794 1.444271209642971e-10
50 123.19048454341255 1.447600598630256e-10
51 123.89547477114094 1.447600598630256e-10
52 124.59112700980249 1.447600598630256e-10
53 125.27536967271728 1.447600598630256e-10
54 125.95028388560708 1.447600598630256e-10
55 126.61817953736221 1.447600598630256e-10
56 127.28058005063077 1.447600598630256e-10
57 127.9378567045661 1.437635386203457e-10
58 128.5884161466313 1.437635386203457e-10
59 129.2316767043094 1.437635386203457e-10
60 129.86668626477905 1.434328916568751e-10
61 130.49337137712223 1.434328916568751e-10
62 131.1149058641532 1.434328916568751e-10
63 131.73391195003188 1.431030051603175e-10
64 132.3521267723847 1.431030051603175e-10
65 132.97467549246485 1.431030051603175e-10
66 133.60624671571554 1.42773877381648e-10
67 134.24586736255884 1.42773877381648e-10
68 134.88933767098138 1.427696108503392e-10
69 135.53239314045348 1.424455065758637e-10
70 136.16188778691412 1.421178910019751e-10
71 136.89443015553888 1.411395583217985e-10
72 138.12911012025026 1.411395583217985e-10
73 139.9884632943904 1.408149463455453e-10
74 142.27181726547764 1.404868826419289e-10
75 144.63163804521236 1.391988911600244e-10
76 146.8099987998897 1.379268297413249e-10
77 148.8936886585228 1.372890107737439e-10
78 150.9304612628747 1.366582250670168e-10
79 152.9143160201406 1.347832039263715e-10
80 154.82608260606904 1.341639313563057e-10
81 157.12263083167164 1.338553628768709e-10
82 160.04587130990322 1.323231332083583e-10
83 162.78283702017103 1.320187984471793e-10
84 164.9683699313471 1.3080454273506048e-10
85 167.01835588192398 1.3050759175784978e-10
86 169.55624165486486 1.3020743262613442e-10
87 172.53666522723728 1.293072355159299e-10
88 175.29924455971496 1.293072355159299e-10
89 178.06731951616146 1.290136837084467e-10
90 180.90090016134798 1.296053194789891e-10
91 183.4672596167881 1.293110909647017e-10
92 185.83077465911342 1.299079638412652e-10
93 188.0199980117486 1.299040905965504e-10
94 190.1153077713236 1.296091838154882e-10
95 192.24763588054756 1.299079638412652e-10
96 194.43550254372755 1.296091838154882e-10
97 196.63502124279137 1.3020743262613442e-10
