idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
  10 4.7500e+02 1.9748e-04 7.5496e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2080e+12 5.3648e-10 1.2067e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  11 5.2500e+02 2.3708e-04 9.9203e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0720e+12 5.2731e-10 1.2015e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  12 5.7500e+02 2.7948e-04 1.2715e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9360e+12 5.1829e-10 1.1963e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  13 6.2500e+02 3.2452e-04 1.5960e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0800e+13 5.0942e-10 1.1912e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  14 6.7500e+02 3.7202e-04 1.9681e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1664e+13 5.0071e-10 1.1860e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  15 7.2500e+02 4.2181e-04 2.3899e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2528e+13 4.9214e-10 1.1809e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  16 7.7500e+02 4.7372e-04 2.8636e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3392e+13 4.8372e-10 1.1758e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  17 8.2500e+02 5.2761e-04 3.3912e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4256e+13 4.7544e-10 1.1708e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  18 8.7500e+02 5.8333e-04 3.9745e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5120e+13 4.6731e-10 1.1657e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  19 9.2500e+02 6.4072e-04 4.6153e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5984e+13 4.5931e-10 1.1607e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  20 9.7500e+02 6.9966e-04 5.3149e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6848e+13 4.5145e-10 1.1557e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  21 1.0250e+03 7.6001e-04 6.0749e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7712e+13 4.4372e-10 1.1507e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  22 1.0750e+03 8.2164e-04 6.8966e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8576e+13 4.3612e-10 1.1458e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  23 1.1250e+03 8.8443e-04 7.7810e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9440e+13 4.2866e-10 1.1408e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  24 1.1750e+03 9.4826e-04 8.7292e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0304e+13 4.2132e-10 1.1359e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  25 1.2250e+03 1.0130e-03 9.7423e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1168e+13 4.1411e-10 1.1310e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  26 1.2750e+03 1.0786e-03 1.0821e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2032e+13 4.0702e-10 1.1262e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  27 1.3250e+03 1.1449e-03 1.1966e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2896e+13 4.0005e-10 1.1213e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  28 1.3750e+03 1.2118e-03 1.3178e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3760e+13 3.9320e-10 1.1165e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  29 1.4250e+03 1.2793e-03 1.4457e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4624e+13 3.8647e-10 1.1117e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  30 1.4750e+03 1.3471e-03 1.5804e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5488e+13 3.7985e-10 1.1069e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  31 1.5250e+03 1.4154e-03 1.7219e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6352e+13 3.7335e-10 1.1021e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  32 1.5750e+03 1.4838e-03 1.8703e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7216e+13 3.6695e-10 1.0974e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  33 1.6250e+03 1.5525e-03 2.0256e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8080e+13 3.6067e-10 1.0926e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  34 1.6750e+03 1.6212e-03 2.1877e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8944e+13 3.5450e-10 1.0879e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  35 1.7250e+03 1.6900e-03 2.3567e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9808e+13 3.4843e-10 1.0832e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  36 1.7750e+03 1.7588e-03 2.5326e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0672e+13 3.4246e-10 1.0786e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  37 1.8250e+03 1.8274e-03 2.7153e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.1536e+13 3.3660e-10 1.0739e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  38 1.8750e+03 1.8959e-03 2.9049e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2400e+13 3.3083e-10 1.0693e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  39 1.9250e+03 1.9641e-03 3.1013e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.3264e+13 3.2517e-10 1.0647e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  40 1.9750e+03 2.0321e-03 3.3045e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4128e+13 3.1960e-10 1.0601e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  41 2.0250e+03 2.0997e-03 3.5145e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4992e+13 3.1413e-10 1.0555e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  42 2.0750e+03 2.1669e-03 3.7312e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5856e+13 3.0875e-10 1.0510e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  43 2.1250e+03 2.2337e-03 3.9546e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6720e+13 3.0346e-10 1.0465e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  44 2.1750e+03 2.3000e-03 4.1846e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7584e+13 2.9827e-10 1.0420e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  45 2.2250e+03 2.3657e-03 4.4211e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8448e+13 2.9316e-10 1.0375e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  46 2.2750e+03 2.4309e-03 4.6642e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9312e+13 2.8814e-10 1.0330e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  47 2.3250e+03 2.4954e-03 4.9137e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.0176e+13 2.8321e-10 1.0285e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  48 2.3750e+03 2.5593e-03 5.1697e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1040e+13 2.7836e-10 1.0241e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  49 2.4250e+03 2.6225e-03 5.4319e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1904e+13 2.7359e-10 1.0197e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  50 2.4750e+03 2.6850e-03 5.7004e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2768e+13 2.6891e-10 1.0153e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  51 2.5250e+03 2.7467e-03 5.9751e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3632e+13 2.6430e-10 1.0109e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  52 2.5750e+03 2.8076e-03 6.2559e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.4496e+13 2.5977e-10 1.0066e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  53 2.6250e+03 2.8678e-03 6.5426e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5360e+13 2.5533e-10 1.0022e+05 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  54 2.6750e+03 2.9271e-03 6.8353e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6224e+13 2.5095e-10 9.9793e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  55 2.7250e+03 2.9855e-03 7.1339e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7088e+13 2.4666e-10 9.9363e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  56 2.7750e+03 3.0430e-03 7.4382e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.7952e+13 2.4243e-10 9.8935e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  57 2.8250e+03 3.0997e-03 7.7482e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.8816e+13 2.3828e-10 9.8508e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  58 2.8750e+03 3.1554e-03 8.0637e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9680e+13 2.3420e-10 9.8084e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  59 2.9250e+03 3.2102e-03 8.3847e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0544e+13 2.3019e-10 9.7661e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  60 2.9750e+03 3.2640e-03 8.7111e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.1408e+13 2.2625e-10 9.7240e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  61 3.0250e+03 3.3168e-03 9.0428e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.2272e+13 2.2238e-10 9.6821e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  62 3.0750e+03 3.3687e-03 9.3797e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3136e+13 2.1857e-10 9.6404e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  63 3.1250e+03 3.4196e-03 9.7216e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4000e+13 2.1483e-10 9.5989e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  64 3.1750e+03 3.4694e-03 1.0069e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4864e+13 2.1115e-10 9.5575e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  65 3.2250e+03 3.5183e-03 1.0420e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.5728e+13 2.0753e-10 9.5164e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  66 3.2750e+03 3.5661e-03 1.0777e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.6592e+13 2.0398e-10 9.4753e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  67 3.3250e+03 3.6128e-03 1.1138e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7456e+13 2.0048e-10 9.4345e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  68 3.3750e+03 3.6586e-03 1.1504e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.8320e+13 1.9705e-10 9.3939e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  69 3.4250e+03 3.7033e-03 1.1874e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.9184e+13 1.9368e-10 9.3534e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  70 3.4750e+03 3.7469e-03 1.2249e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0048e+13 1.9036e-10 9.3131e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  71 3.5250e+03 3.7895e-03 1.2628e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.0912e+13 1.8710e-10 9.2730e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  72 3.5750e+03 3.8310e-03 1.3011e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1776e+13 1.8390e-10 9.2330e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  73 3.6250e+03 3.8714e-03 1.3398e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2640e+13 1.8075e-10 9.1932e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  74 3.6750e+03 3.9108e-03 1.3789e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.3504e+13 1.7765e-10 9.1536e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  75 3.7250e+03 3.9492e-03 1.4184e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.4368e+13 1.7461e-10 9.1142e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  76 3.7750e+03 3.9864e-03 1.4583e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5232e+13 1.7162e-10 9.0749e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  77 3.8250e+03 4.0227e-03 1.4985e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6096e+13 1.6868e-10 9.0358e+04 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
